,0
0,651
1,376
2,330
3,403
4,469
5,700
6,24
7,406
8,271
9,761
10,425
11,420
12,1182
13,65
14,518
15,2492
16,1043
17,1707
18,1391
19,796
20,482
21,171
22,2833
23,891
24,1415
25,1798
26,331
27,90
28,1849
29,1686
30,2143
31,2308
32,2613
33,2292
34,5188
35,5887
36,357
37,793
38,385
39,292
40,2004
41,13
42,208
43,988
44,2366
45,909
46,8
47,3358
48,44
49,724
50,442
51,621
52,1007
53,870
54,4311
55,712
56,73
57,1284
58,2986
59,2435
60,407
61,2141
62,3080
63,3714
64,1512
65,640
66,363
67,646
68,1243
69,2870
70,181
71,5524
72,1492
73,5966
74,1107
75,156
76,840
77,1750
78,3553
79,101
80,753
81,1818
82,1218
83,1343
84,139
85,1654
86,4436
87,1858
88,1909
89,2478
90,1708
91,2831
92,3012
93,1829
94,1661
95,734
96,428
97,777
98,2498
99,2606
100,205
101,989
102,1045
103,1915
104,733
105,3288
106,2873
107,2271
108,4957
109,3310
110,377
111,1151
112,1307
113,6482
114,3206
115,743
116,479
117,5125
118,2692
119,89
120,3189
121,1737
122,2728
123,3517
124,5505
125,3597
126,2752
127,859
128,227
129,3382
130,130
131,1433
132,1678
133,2266
134,967
135,196
136,1577
137,128
138,1646
139,349
140,1475
141,2534
142,899
143,2798
144,1390
145,1721
146,2423
147,2918
148,483
149,3053
150,3837
151,3855
152,3446
153,2302
154,1672
155,4154
156,608
157,2959
158,4168
159,3727
160,4238
161,2087
162,3518
163,687
164,791
165,3966
166,1815
167,2992
168,3852
169,3669
170,2352
171,6368
172,2078
173,3807
174,1481
175,235
176,2393
177,888
178,3583
179,4162
180,4681
181,3282
182,4176
183,2571
184,28
185,461
186,2554
187,3263
188,5195
189,1569
190,4232
191,1096
192,4106
193,2803
194,1784
195,2050
196,553
197,2502
198,549
199,254
200,4148
201,2994
202,1918
203,1028
204,3711
205,500
206,1038
207,4189
208,1901
209,1938
210,800
211,3158
212,790
213,1484
214,3941
215,2204
216,68
217,1211
218,138
219,2653
220,2671
221,1485
222,1911
223,1548
224,2475
225,3736
226,3121
227,5021
228,2051
229,4533
230,3503
231,981
232,3
233,3319
234,3543
235,4790
236,2022
237,5375
238,4049
239,1008
240,1978
241,4408
242,3629
243,3752
244,3471
245,3626
246,3654
247,3324
248,4937
249,2480
250,200
251,4701
252,1521
253,2654
254,5357
255,4771
256,4293
257,3131
258,5424
259,5233
260,3129
261,4946
262,6199
263,1460
264,4255
265,4209
266,5758
267,2333
268,4716
269,1076
270,4657
271,915
272,4833
273,4277
274,1382
275,5122
276,3038
277,4997
278,5296
279,2429
280,2836
281,2045
282,6420
283,2546
284,6193
285,5382
286,4390
287,3986
288,4026
289,5176
290,5218
291,5541
292,5554
293,3970
294,3095
295,2486
296,4061
297,4306
298,1580
299,2963
300,4016
301,6568
302,2340
303,6096
304,5049
305,2718
306,2724
307,4634
308,555
309,4254
310,3738
311,2253
312,814
313,6203
314,4661
315,7180
316,3335
317,1473
318,4104
319,1175
320,5077
321,5107
322,6996
323,4012
324,5929
325,7260
326,8264
327,6900
328,4663
329,6617
330,3541
331,5864
332,4907
333,3248
334,2627
335,2216
336,1427
337,5784
338,4699
339,3978
340,4867
341,5063
342,7001
343,4704
344,4170
345,480
346,4088
347,3779
348,1986
349,4899
350,6658
351,3793
352,1810
353,717
354,3096
355,6157
356,4303
357,5567
358,2977
359,3791
360,977
361,7444
362,4879
363,1301
364,5863
365,4362
366,4931
367,1916
368,6745
369,6705
370,365
371,8351
372,7965
373,3497
374,7528
375,2637
376,6241
377,6051
378,1562
379,3100
380,4252
381,1604
382,3331
383,2205
384,4051
385,6803
386,1550
387,6224
388,2858
389,1090
390,4529
391,5246
392,1610
393,2252
394,6769
395,2624
396,6450
397,5895
398,6047
399,373
400,7806
401,5288
402,8070
403,5731
404,6951
405,7012
406,5818
407,6821
408,6547
409,6541
410,6242
411,8285
412,5444
413,7430
414,6521
415,6763
416,4097
417,8339
418,7954
419,7307
420,5007
421,5865
422,8809
423,8523
424,6811
425,6877
426,4979
427,6471
428,8189
429,7394
430,6577
431,1355
432,7364
433,5422
434,7077
435,5956
436,4966
437,9008
438,7580
439,6419
440,10048
441,7466
442,7439
443,7821
444,6261
445,7682
446,9894
447,8272
448,7400
449,8782
450,5341
451,6904
452,6959
453,6063
454,1344
455,7473
456,7259
457,4134
458,7746
459,8735
460,5915
461,7285
462,6104
463,6528
464,7655
465,5783
466,4947
467,7589
468,3958
469,5667
470,4764
471,5317
472,8011
473,7555
474,10055
475,5376
476,8466
477,7654
478,911
479,8134
480,5177
481,7659
482,8398
483,8590
484,4983
485,7217
486,4987
487,7328
488,3796
489,142
490,8289
491,4594
492,9237
493,8657
494,7750
495,7590
496,8900
497,1774
498,2589
499,7720
500,8761
501,2315
502,5875
503,2178
504,8135
505,7885
506,6155
507,70
