,0
0,1704
1,7720
2,6595
3,9160
4,9884
5,10205
6,10002
7,4357
8,785
9,9851
10,4206
11,642
12,382
13,5959
14,7242
15,7555
16,4265
17,7173
18,4222
19,8865
20,1645
21,2173
22,575
23,8708
24,7791
25,1890
26,8488
27,6090
28,9402
29,10788
30,5652
31,6987
32,6678
33,2550
34,4659
35,692
36,5217
37,1571
38,2079
39,5841
40,3445
41,327
42,10563
43,674
44,3937
45,7418
46,6599
47,3951
48,5511
49,7956
50,2314
51,10758
52,5455
53,5436
54,1741
55,7256
56,544
57,8081
58,2655
59,1395
60,4016
61,4515
62,2431
63,5721
64,5986
65,9754
66,9143
67,2959
68,4697
69,10549
70,1309
71,8145
72,4950
73,1975
74,9628
75,7213
76,2611
77,4244
78,2931
79,2281
80,9829
81,7304
82,6591
83,9739
84,232
85,3834
86,2287
87,738
88,2491
89,7444
90,93
91,6209
92,6382
93,5069
94,1651
95,6066
96,5390
97,145
98,5766
99,6463
100,198
101,1381
102,4948
103,10416
104,10632
105,10756
106,10276
107,1112
108,8023
109,8782
110,3114
111,1206
112,9475
113,9713
114,9271
115,4283
116,9125
117,5131
118,5301
119,840
120,573
121,4957
122,4359
123,4490
124,9487
125,4657
126,6125
127,7002
128,9686
129,4451
130,7115
131,9595
132,2435
133,3920
134,1970
135,4032
136,3720
137,5138
138,8574
139,2695
140,1056
141,9618
142,5016
143,4536
144,6485
145,3325
146,2031
147,9187
148,3034
149,5196
150,9100
151,8622
152,7432
153,4678
154,9205
155,8585
156,8543
157,73
158,9636
159,8445
160,8
161,10540
162,101
163,5833
164,9209
165,4153
166,1738
167,4256
168,9086
169,5560
170,7234
171,5925
172,442
173,991
174,2232
175,5993
176,10296
177,159
178,9862
179,2825
180,1454
181,825
182,4289
183,2628
184,9518
185,4787
186,1426
187,2259
188,8412
189,8900
190,2089
191,1567
192,6218
193,10272
194,4025
195,7601
196,5353
197,3507
198,4952
199,5184
200,4883
201,7447
202,637
203,6248
204,10481
205,8896
206,3762
207,3771
208,8472
209,7423
210,1597
211,9738
212,2626
213,5887
214,6815
215,3181
216,3340
217,10357
218,5003
219,2958
220,10784
221,5382
222,5425
223,5153
224,8159
225,4061
226,4619
227,918
228,3707
229,6319
230,4389
231,4050
232,1661
233,5260
234,9185
235,401
236,6731
237,7671
238,8421
239,4565
240,2213
241,7654
242,4123
243,3094
244,6061
245,4270
246,9244
247,1383
248,6444
249,8491
250,8536
251,2107
252,7364
253,5133
254,7205
255,7068
256,3019
257,4917
258,9626
259,10798
260,1466
261,2231
262,2864
263,8951
264,9934
265,6109
266,9726
267,6949
268,4168
269,6064
270,3090
271,5431
272,4330
273,3206
274,6764
275,458
276,7970
277,7920
278,49
279,6988
280,10033
281,10173
282,4224
283,9496
284,3252
285,7042
286,4189
287,1845
288,515
289,3103
290,866
291,10529
292,3327
293,896
294,1801
295,1482
296,1805
297,4066
298,1604
299,4774
300,6869
301,106
302,2890
303,5427
304,9249
305,140
306,10313
307,8922
308,2986
309,3074
310,2071
311,5823
312,4524
313,5998
314,2617
315,1412
316,9956
317,1680
318,2907
319,4942
320,8806
321,5680
322,1303
323,477
324,10576
325,921
326,8837
327,10429
328,8493
329,10779
330,4107
331,7494
332,3529
333,10660
334,6893
335,8709
336,7972
337,2322
338,1675
339,3073
340,7360
341,7851
342,7802
343,9596
344,1171
345,10532
346,8459
347,10206
348,5104
349,7523
350,3092
351,1462
352,2837
353,2673
354,8135
355,2588
356,7574
357,7063
358,3348
359,6647
360,271
361,7576
362,3729
363,10714
364,10722
365,10155
366,8351
367,10638
368,8480
369,9291
370,8949
371,5349
372,10570
373,2686
374,1429
375,957
376,3
377,10762
378,1836
379,4412
380,3502
381,2614
382,6212
383,4763
384,8675
385,428
386,7749
387,6260
388,10432
389,9427
390,6203
391,6168
392,9703
393,7540
394,4544
395,2442
396,2421
397,3619
398,4064
399,9053
400,6917
401,1889
402,5185
403,1237
404,1556
405,7803
406,3744
407,4355
408,7893
409,4034
410,4036
411,10767
412,3503
413,3165
414,8399
415,466
416,4716
417,6940
418,8250
419,830
420,8994
421,6625
422,4987
423,1509
424,2125
425,10228
426,2528
427,7705
428,3785
429,5005
430,10575
431,9696
432,2017
433,9988
434,3018
435,7739
436,10052
437,6838
438,8177
439,3917
440,9852
441,8365
442,3974
443,9108
444,8226
445,5572
446,8362
447,203
448,2574
449,3772
450,2094
451,10097
452,10195
453,1962
454,7680
455,4879
456,9236
457,9555
458,7107
459,8600
460,7023
461,2656
462,8279
463,3490
464,4148
465,9556
466,5251
467,5119
468,7337
469,10177
470,1860
471,8694
472,419
473,1667
474,827
475,1762
476,2972
477,3462
478,3282
479,10513
480,3294
481,10595
482,7149
483,6993
484,2578
485,7644
486,1178
487,2916
488,4845
489,1283
490,1785
491,409
492,5505
493,1929
494,141
495,6556
496,4995
497,2810
498,9159
499,9253
500,769
501,2049
502,10560
503,4661
504,8836
505,6048
506,3733
507,1721
508,3647
509,5940
510,4122
511,344
512,7822
513,8096
514,3655
515,9474
516,1107
517,3975
518,4976
519,2489
520,6999
521,4258
522,925
523,1068
524,246
525,7541
526,497
527,4297
528,4633
529,5488
530,2683
531,10145
532,6275
533,5795
534,2979
535,1167
536,5028
537,8075
538,7806
539,10731
540,7428
541,10780
542,9998
543,8495
544,6249
545,4105
546,7724
547,4372
548,69
549,5966
550,3125
551,6823
552,779
553,7999
554,8720
555,2728
556,5813
557,2777
558,258
559,6223
560,4081
561,4384
562,1103
563,1123
564,10551
565,2859
566,2151
567,6960
568,10058
569,2572
570,7829
571,4259
572,6518
573,7712
574,7486
575,7769
576,1710
577,1200
578,8146
579,8282
580,6901
581,6462
582,10404
583,2905
584,10244
585,9052
586,112
587,3534
588,3379
589,2960
590,1725
591,4793
592,1696
593,2277
594,723
595,3789
596,10562
597,6784
598,9448
599,3115
600,2757
601,10708
602,3962
603,4991
604,4012
605,3265
606,1950
607,2819
608,3135
609,10167
610,10256
611,5827
612,5135
613,2111
614,5304
615,10455
616,9288
617,7021
618,422
619,9373
620,6520
621,4173
622,7891
623,4407
624,2508
625,9944
626,1372
627,5626
628,3280
629,6425
630,6431
631,6151
632,4702
633,1912
634,8200
635,3190
636,2097
637,10408
638,8633
639,1915
640,7155
641,7580
642,525
643,3797
644,4281
645,8036
646,7217
647,6360
648,7746
649,4766
650,10339
651,5006
652,3704
653,4375
654,1654
655,2980
656,4028
657,5302
658,6009
659,10567
660,2483
661,7288
662,8778
663,4744
664,3618
665,185
666,8728
667,10783
668,2512
669,10064
670,130
671,3521
672,7811
673,2275
674,9748
675,8825
676,8512
677,8084
678,9222
679,6493
680,8826
681,5546
682,5876
683,10668
684,5398
685,2053
686,1818
687,4669
688,6531
689,6332
690,9243
691,5571
692,4074
693,3454
694,1052
695,7878
696,1089
697,6269
698,7408
699,5432
700,9230
701,6798
702,9978
703,2902
704,6201
705,2601
706,2834
707,5090
708,4803
709,42
710,7317
711,287
712,8099
713,1602
714,5035
715,1817
716,4435
717,4768
718,3790
719,3683
720,7825
721,7375
722,3312
723,5818
724,1046
725,8018
726,8271
727,5620
728,9042
729,495
730,10613
731,9374
732,266
733,8997
734,5633
735,8469
736,8093
737,9158
738,7335
739,4245
740,550
741,5331
742,7777
743,3371
744,6371
745,3731
746,3439
747,2342
748,727
749,5739
750,737
751,8962
752,4689
753,1071
754,9529
755,10325
756,4846
757,2721
758,10062
759,9685
760,8254
761,3848
762,8882
763,441
764,1631
765,4349
766,9547
767,4096
768,944
769,1901
770,8027
771,5339
772,1716
773,281
774,931
775,5814
776,8608
777,3273
778,6640
779,7734
780,3944
781,1773
782,1192
783,1638
784,6102
785,6898
786,8352
787,369
788,2444
789,2428
790,7997
791,7459
792,714
793,4802
794,676
795,8298
796,10419
797,3563
798,5543
799,3685
800,6076
801,5483
802,2212
803,6802
804,3898
805,1903
806,10793
807,8742
808,5438
809,6894
810,10204
811,7584
812,467
813,2870
814,7398
815,5850
816,206
817,1999
818,8231
819,10598
820,7349
821,8199
822,1474
823,5157
824,1966
825,8306
826,9907
827,10745
828,2379
829,4230
830,5904
831,2954
832,7157
833,7559
834,8360
835,1145
836,3868
837,548
838,9590
839,7093
840,9908
841,6546
842,7241
843,6379
844,8511
845,4527
846,9630
847,10477
848,8868
849,2347
850,7626
851,5784
852,2874
853,7933
854,9073
855,6464
856,3157
857,5399
858,3622
859,5378
860,9401
861,3390
862,8487
863,2497
864,9229
865,2989
866,8753
867,4048
868,6027
869,1568
870,1120
871,3845
872,4182
873,8718
874,9546
875,4253
876,1849
877,5191
878,10352
879,3402
880,6807
881,4406
882,9912
883,9308
884,10662
885,3287
886,3691
887,9325
888,5733
889,9362
890,2748
891,6631
892,3963
893,3678
894,1350
895,9082
896,4118
897,10544
898,7245
899,7467
900,8050
901,10732
902,5897
903,454
904,5364
905,8356
906,1408
907,759
908,182
909,561
910,644
911,6229
912,10452
913,3661
914,5991
915,7123
916,4970
917,8155
918,10
919,6608
920,7610
921,9682
922,2887
923,1218
924,9455
925,2027
926,5792
927,4560
928,9090
929,9718
930,717
931,6140
932,10383
933,8756
934,940
935,1806
936,1156
937,2649
938,8444
939,4376
940,10406
941,2803
942,2943
943,6974
944,7566
945,7923
946,3763
947,2087
948,7466
949,1402
950,6615
951,8895
952,2340
953,5440
954,2308
955,4880
956,5162
957,5345
958,10020
959,8814
960,1477
961,349
962,7719
963,9089
964,3414
965,5583
966,3425
967,1476
968,8197
969,9058
970,7424
971,3708
972,2366
973,5203
974,3829
975,2609
976,1322
977,6718
978,10213
979,10321
980,7661
981,6788
982,3089
983,6424
984,7658
985,9584
986,627
987,7717
988,5254
989,10319
990,3045
991,2761
992,6849
993,6078
994,352
995,5055
996,100
997,5086
998,1524
999,6891
1000,801
1001,7991
1002,8170
1003,10102
1004,4571
1005,9064
1006,6541
1007,6384
1008,2637
1009,6497
1010,3710
1011,5051
1012,4444
1013,2629
1014,5524
1015,5655
1016,2187
1017,10441
1018,9758
1019,8350
1020,3332
1021,5977
1022,648
1023,10060
1024,7204
1025,6295
1026,9320
1027,1240
1028,4801
1029,1998
1030,10274
1031,2511
1032,6145
1033,898
1034,9232
1035,8521
1036,4000
1037,503
1038,24
1039,397
1040,1677
1041,10246
1042,3123
1043,9909
1044,10073
1045,9524
1046,8180
1047,976
1048,4443
1049,7670
1050,9691
1051,7394
1052,5672
1053,5225
1054,6523
1055,1561
1056,3062
1057,1362
1058,1281
1059,10607
1060,3961
1061,3713
1062,5666
1063,5411
1064,2318
1065,1004
1066,4458
1067,6173
1068,2879
1069,8646
1070,4166
1071,10031
1072,10094
1073,6130
1074,2224
1075,5793
1076,7560
1077,7324
1078,4290
1079,9006
1080,78
1081,7682
1082,8039
1083,6300
1084,4977
1085,7558
1086,5768
1087,9386
1088,10084
1089,4747
1090,6938
1091,5617
1092,1140
1093,980
1094,8905
1095,8636
1096,2297
1097,8702
1098,1699
1099,5671
1100,10217
1101,6065
1102,8374
1103,4063
1104,7437
1105,3433
1106,1030
1107,10418
1108,8353
1109,2537
