,0
721,2068
722,1718
723,2122
724,517
725,727
726,2195
727,911
728,414
729,1714
730,2185
731,1860
732,1744
733,2309
734,2051
735,225
736,2139
737,2218
738,1871
739,1915
740,2222
741,1833
742,2300
743,1966
744,2302
745,2100
746,1851
747,67
748,1870
749,1920
750,2002
751,1515
752,2282
753,1106
754,1867
755,1006
756,2162
757,2463
758,1043
759,909
760,2365
761,1505
762,2637
763,1008
764,2480
765,2168
766,2111
767,2398
768,1631
769,2140
770,2325
771,2307
772,1508
773,2236
774,1412
775,1628
776,1933
777,2044
778,2294
779,2141
780,1624
781,2280
782,2506
783,2334
784,2306
785,1563
786,1163
787,1500
788,747
789,2340
790,2564
791,2370
792,2392
793,2259
794,1231
795,2318
796,2188
797,2581
798,2283
799,1591
800,569
801,832
802,2184
803,2311
804,1753
805,2503
806,1276
807,2125
808,1099
809,2436
810,2418
811,2518
812,2072
813,2189
814,2386
815,2403
816,1845
817,2407
818,1595
819,2364
820,2288
821,2338
822,1816
823,2566
824,2452
825,45
826,6
827,2446
828,79
829,2048
830,1787
831,1779
832,2038
833,1983
834,2536
835,557
836,2192
837,2456
838,89
839,2121
840,2708
841,2268
842,2545
843,2326
844,2482
845,1501
846,2516
847,2395
848,1697
849,2322
850,2627
851,2470
852,2448
853,2350
854,2654
855,153
856,2241
857,2464
858,2586
859,2775
860,1526
861,2619
862,2588
863,2471
864,2041
865,1948
866,2517
867,2745
868,2374
869,2438
870,2606
871,2085
872,2152
873,1781
874,534
875,2683
876,2489
877,1004
878,2755
879,1133
880,2569
881,2758
882,2224
883,2659
884,12
885,2579
886,657
887,2270
888,1984
889,1878
890,2265
891,2497
892,2484
893,2591
894,2408
895,2849
896,2321
897,1733
898,2080
899,2199
900,2368
901,1423
902,2242
903,27
904,2776
905,2441
906,2264
907,2478
908,2523
909,2526
910,925
911,2477
912,2310
913,1230
914,2137
915,2763
916,2806
917,2766
918,2664
919,2642
920,2636
921,2904
922,1219
923,2922
924,2802
925,2834
926,2771
927,3206
928,2840
929,1997
930,1222
931,2449
932,2402
933,101
934,655
935,645
936,2680
937,2618
938,2646
939,1324
940,2670
941,884
942,2794
943,1487
944,2201
945,2377
946,2348
947,2738
948,3111
949,1747
950,2676
951,2527
952,2475
953,2320
954,2435
955,2791
956,2772
957,2790
958,2138
959,2126
960,2936
961,2648
962,2248
963,2649
964,270
965,2544
966,2551
967,2759
968,2706
969,2857
970,1946
971,2839
972,1735
973,2881
974,2561
975,2603
976,2887
977,2901
978,2858
979,3019
980,2934
981,2880
982,820
983,3026
984,3059
985,1982
986,1182
987,2247
988,2076
989,2734
990,827
991,3097
992,2933
993,2884
994,1934
995,1227
996,2928
997,3169
998,1455
999,3075
1000,3024
1001,2948
1002,2595
1003,2793
1004,1374
1005,2715
1006,1644
1007,1331
1008,2171
1009,2742
1010,187
1011,2809
1012,3145
1013,2788
1014,2694
1015,2959
1016,2870
1017,1196
1018,2681
1019,2295
1020,1329
1021,280
1022,2968
1023,2949
1024,2807
1025,2972
1026,2894
1027,2376
1028,1958
1029,2757
1030,1399
1031,2253
1032,2375
1033,3132
1034,3092
1035,2601
1036,2961
1037,1588
1038,262
1039,1201
1040,2907
1041,3083
1042,3035
1043,2614
1044,2693
1045,3151
1046,3155
1047,2668
1048,2868
1049,2143
1050,471
1051,2829
1052,2850
1053,2787
1054,2994
1055,2610
1056,3084
1057,2898
1058,3186
1059,799
1060,3215
1061,2926
1062,2281
1063,3021
1064,3247
1065,2286
1066,3074
1067,2514
1068,3245
1069,3123
1070,3182
1071,3246
1072,3148
1073,2056
1074,2493
1075,3175
1076,1990
1077,2995
1078,2417
1079,3101
1080,3031
1081,2274
1082,2932
1083,2210
1084,2609
1085,3117
1086,2877
1087,2026
1088,3343
1089,2970
1090,3345
1091,3055
1092,3260
1093,3122
1094,1434
1095,2801
1096,3389
1097,1679
1098,2387
1099,2628
1100,2135
1101,3162
1102,3036
1103,3135
1104,3277
1105,3112
1106,2073
1107,717
1108,3004
1109,609
1110,3341
1111,2335
1112,3211
1113,2940
1114,3171
1115,2997
1116,2328
1117,3007
1118,2702
1119,2764
1120,2952
1121,3244
1122,3249
1123,3192
1124,2976
1125,1705
1126,3413
1127,2826
1128,2496
1129,2613
1130,3291
1131,235
1132,3316
1133,3287
1134,3383
1135,3549
1136,1164
1137,2821
1138,1943
1139,3392
1140,2113
1141,1009
1142,851
1143,3352
1144,1131
1145,2598
1146,1740
1147,3387
1148,2918
1149,2576
1150,3326
1151,3668
1152,2953
1153,3292
1154,185
1155,2955
1156,1613
1157,2098
1158,3220
1159,3358
1160,3448
1161,3312
1162,3645
1163,3360
1164,2903
1165,3350
1166,1658
1167,3331
1168,3322
1169,2459
1170,3163
1171,3208
1172,3475
1173,652
1174,1721
1175,3255
1176,2939
1177,1604
1178,991
1179,3371
1180,3526
1181,3424
1182,3161
1183,1853
1184,3300
1185,3321
1186,2697
1187,2541
1188,3417
1189,2474
1190,3157
1191,3421
1192,3187
1193,3369
1194,2634
1195,4307
1196,2339
1197,3296
1198,3150
1199,3588
1200,3374
1201,1060
1202,3278
1203,3199
1204,1611
1205,3261
1206,2698
1207,3522
1208,3410
1209,2565
1210,3240
1211,3361
1212,1741
1213,983
1214,3427
1215,3491
1216,3381
1217,1198
1218,3357
1219,2025
1220,2251
1221,3470
1222,3415
1223,3827
1224,2666
1225,3476
1226,3455
1227,3256
1228,3284
1229,3378
1230,2594
1231,3388
1232,1341
1233,3124
1234,3328
1235,3257
1236,3079
1237,3688
1238,2672
1239,3535
1240,2599
1241,3394
1242,2198
1243,3756
1244,3027
1245,3514
1246,3393
1247,3234
1248,3297
1249,2432
1250,3518
1251,3538
1252,3504
1253,3677
1254,3823
1255,774
1256,3562
1257,3505
1258,3511
1259,3006
1260,3682
1261,2687
1262,3348
1263,3487
1264,3230
1265,3464
1266,3471
1267,3657
1268,3751
1269,2861
1270,3680
1271,3127
1272,2388
1273,3787
1274,3077
1275,3623
1276,3708
1277,3414
1278,3612
1279,3048
1280,3029
1281,3525
1282,3840
1283,3488
1284,2965
1285,3626
1286,3927
1287,2950
1288,3605
1289,3684
1290,4005
1291,3080
1292,3732
1293,3512
1294,4178
1295,3615
1296,3561
1297,3725
1298,3548
1299,4056
1300,3347
1301,2935
1302,3778
1303,2400
1304,3395
1305,3268
1306,3499
1307,3692
1308,3453
1309,3649
1310,3599
1311,3363
1312,3774
1313,3621
1314,3622
1315,3125
1316,357
1317,37
1318,3094
1319,2778
1320,3749
1321,2661
1322,3850
1323,3906
1324,2384
1325,785
1326,1122
1327,3705
1328,3733
1329,3665
1330,2773
1331,3816
1332,3597
1333,3543
1334,2803
1335,3771
1336,2908
1337,3960
1338,3650
1339,3739
1340,1445
1341,3438
1342,3876
1343,298
1344,4081
1345,3989
1346,3975
1347,3235
1348,3995
1349,3848
1350,3591
1351,2674
1352,951
1353,3678
1354,3639
1355,3283
1356,4075
1357,3863
1358,3799
1359,1248
1360,3884
1361,3743
1362,3945
1363,3839
1364,3956
1365,3737
1366,3690
1367,1184
1368,1938
1369,4293
1370,3877
1371,228
1372,3925
1373,4071
1374,2453
1375,2415
1376,3883
1377,3734
1378,1123
1379,3915
1380,2439
1381,3971
1382,3832
1383,3886
1384,3846
1385,3852
1386,3969
1387,2916
1388,3844
1389,4048
1390,4078
1391,897
1392,3998
1393,3334
1394,3964
1395,3375
1396,4016
1397,4226
1398,217
1399,4510
1400,4010
1401,4144
1402,4044
1403,4182
1404,2767
1405,4147
1406,3651
1407,946
1408,2202
1409,4063
1410,3262
1411,4203
1412,3676
1413,4024
1414,599
1415,1089
1416,3934
1417,2012
1418,3242
1419,4341
1420,3482
1421,4297
1422,1896
1423,3991
1424,4432
1425,2865
1426,3841
1427,4308
1428,4211
1429,4360
1430,3895
1431,3992
1432,4019
1433,3776
1434,4384
1435,3520
1436,3594
1437,4040
1438,4460
1439,2717
1440,4295
1441,873
1442,3558
1443,1865
1444,4003
1445,4268
1446,3772
1447,3711
1448,4119
1449,4445
1450,2735
1451,4155
1452,3763
1453,3382
1454,4199
1455,3429
1456,4376
1457,4484
1458,3800
1459,4112
1460,2229
1461,3465
1462,4549
1463,4133
1464,4074
1465,4209
1466,3958
1467,2487
1468,4002
1469,4335
1470,3225
1471,1144
1472,4219
1473,4414
1474,2568
1475,4072
1476,4241
1477,2467
1478,4087
1479,4276
1480,3366
1481,4259
1482,4204
1483,4041
1484,4234
1485,4415
1486,3619
1487,4649
1488,3198
1489,4476
1490,4323
1491,4245
1492,3842
1493,4562
1494,4277
1495,4163
1496,4013
1497,4363
1498,4361
1499,4503
1500,2947
1501,3524
1502,4497
1503,1281
1504,1684
1505,4750
1506,3993
1507,2001
1508,4732
1509,3888
1510,3231
1511,2983
1512,3746
1513,3928
1514,2954
1515,4528
1516,4349
1517,3397
1518,2180
1519,62
1520,4237
1521,4339
1522,2013
1523,4365
1524,4129
1525,4670
1526,3437
1527,3853
1528,4111
1529,4331
1530,4309
1531,4358
1532,4417
1533,4092
1534,3264
1535,3385
1536,2980
1537,4278
1538,4004
1539,4560
1540,4493
1541,4542
1542,4559
1543,2798
1544,4423
1545,4627
1546,4561
1547,4137
1548,4439
1549,1033
1550,4558
1551,4395
1552,4491
1553,4515
1554,3727
1555,2046
1556,4195
1557,3384
1558,4572
1559,2891
1560,4419
1561,1912
1562,4730
1563,4420
1564,4547
1565,3581
1566,4442
1567,282
1568,4612
1569,4781
1570,4651
1571,4602
1572,3454
1573,4676
1574,4437
1575,4541
1576,3484
1577,2118
1578,4803
1579,4036
1580,1889
1581,4329
1582,4756
1583,4500
1584,4813
1585,3972
1586,4368
1587,4693
1588,4775
1589,1546
1590,4687
1591,3994
1592,1464
1593,412
1594,1194
1595,3954
1596,4485
1597,4613
1598,2669
1599,4785
1600,4808
1601,4512
1602,456
1603,1260
1604,4454
1605,5095
1606,4468
1607,3494
1608,4191
1609,653
1610,4622
1611,4878
1612,2182
1613,4702
1614,4722
1615,4609
1616,4683
1617,1308
1618,4697
1619,5050
1620,4291
1621,4762
1622,4678
1623,4412
1624,4640
1625,2433
1626,4569
1627,4487
1628,1497
1629,3472
1630,4461
1631,4079
1632,4821
1633,4545
1634,3887
1635,4482
1636,4805
1637,4601
1638,4340
1639,4793
1640,4502
1641,4616
1642,4635
1643,2890
1644,4908
1645,4841
1646,4685
1647,3894
1648,2314
1649,2146
1650,4799
1651,4738
1652,3546
1653,4962
1654,4402
1655,3131
1656,4932
1657,4815
1658,4486
1659,3983
1660,5063
1661,2604
1662,5018
1663,2017
1664,4773
1665,4098
1666,5203
1667,3640
1668,4231
1669,2554
1670,5066
1671,4647
1672,4655
1673,4663
1674,4623
1675,4723
1676,4870
1677,5042
1678,4769
1679,4820
1680,4772
