Unnamed: 0,accuracy,balanced_accuracy,recall,precision,auc,pr_auc,f1_score,f2_score,log_loss
0,0.7,0.6999769443804011,0.6861435726210351,0.7049742710120068,0.699976944380401,0.7738922551498544,0.6954314720812182,0.6898288016112789,10.3617475274382
1,0.7116666666666667,0.7116519768110467,0.7028380634390651,0.7147707979626485,0.7116519768110466,0.7829710973675235,0.7087542087542087,0.7051926298157454,9.958792470839477
2,0.7058333333333333,0.7058227939522055,0.6994991652754591,0.7077702702702703,0.7058227939522054,0.7786347177728647,0.7036104114189756,0.7011378848728246,10.160271998132412
3,0.7125,0.7124950347084298,0.7095158597662772,0.7130872483221476,0.7124950347084298,0.7838015540442123,0.7112970711297072,0.7102272727272727,9.930012156170623
4,0.715,0.714985319403665,0.7061769616026711,0.7181663837011885,0.7149853194036649,0.7855050059852632,0.712121212121212,0.7085427135678392,9.843661883527385
5,0.7116666666666667,0.7116353100980837,0.6928213689482471,0.7192374350086655,0.7116353100980836,0.7826960686451231,0.70578231292517,0.6979482004709049,9.958788472852325
6,0.7058333333333333,0.7058477940216501,0.7145242070116862,0.7016393442622951,0.7058477940216501,0.7793317756369906,0.708023159636063,0.7119095143047239,10.160277995113137
7,0.7025,0.702492229145081,0.6978297161936561,0.7037037037037037,0.702492229145081,0.7761833766153465,0.7007544006705785,0.6989966555183946,10.275403251775689
8,0.7058333333333333,0.7058450162361563,0.7128547579298832,0.7023026315789473,0.7058450162361563,0.7792453614210819,0.7075393537696768,0.7107190412782957,10.160277328781946
9,0.7158333333333333,0.7158394884430235,0.7195325542570952,0.7135761589403974,0.7158394884430235,0.7865543565987464,0.7165419783873651,0.7183333333333334,9.814884234183305
10,0.7125,0.7125144792068867,0.7212020033388982,0.7081967213114754,0.7125144792068867,0.78428269565852,0.7146401985111663,0.7185628742514969,9.930016820488966
11,0.7225,0.7225061736282601,0.7262103505843072,0.7201986754966887,0.7225061736282601,0.7915378463738313,0.7231920199501247,0.7249999999999999,9.584623059559133
12,0.7166666666666667,0.716654768485468,0.7095158597662772,0.7191201353637902,0.716654768485468,0.7868179975650336,0.7142857142857144,0.7114161365918982,9.786097256202536
13,0.72,0.7199936666490742,0.7161936560934892,0.7210084033613445,0.7199936666490742,0.7894343630607503,0.7185929648241206,0.7171514543630894,9.670968001552836
14,0.7158333333333333,0.7158255995155542,0.7111853088480802,0.7171717171717171,0.7158255995155542,0.7862618463432319,0.7141659681475273,0.7123745819397994,9.814880902527348
15,0.7141666666666666,0.7141672615757266,0.7145242070116862,0.7133333333333334,0.7141672615757266,0.7851787701725097,0.7139282735613012,0.7142857142857143,9.872448195176963
16,0.7158333333333333,0.7158144883735789,0.7045075125208681,0.7201365187713311,0.7158144883735788,0.7860720156460996,0.7122362869198312,0.7075788061703554,9.81487823720258
17,0.7225,0.7225117291992478,0.7295492487479132,0.71875,0.7225117291992478,0.7916496243739566,0.7241093620546809,0.7273635153129161,9.584624392221519
18,0.7166666666666667,0.7166686574129373,0.7178631051752922,0.7154742096505824,0.7166686574129373,0.787085324079604,0.7166666666666667,0.7173840507173842,9.786100587858495
19,0.7075,0.7074894652485146,0.7011686143572621,0.7094594594594594,0.7074894652485145,0.7798973702416941,0.7052896725440806,0.7028112449799198,10.10270670447637
20,0.72,0.7200214445040125,0.7328881469115192,0.7138211382113822,0.7200214445040125,0.7900213092281173,0.7232289950576606,0.7289936898040518,9.670974664864753
21,0.7133333333333334,0.7133214258928497,0.7061769616026711,0.7157360406091371,0.7133214258928496,0.7842898344392375,0.7109243697478992,0.7080682959491129,9.901227843514624
22,0.7283333333333334,0.728304800846669,0.7111853088480802,0.7357512953367875,0.728304800846669,0.7955516354257671,0.7232597623089984,0.7159663865546219,9.383136202623083
23,0.7058333333333333,0.7058144605957242,0.6944908180300501,0.7098976109215017,0.7058144605957238,0.7784442144757758,0.7021097046413503,0.6975184439973172,10.160269999138835
24,0.71,0.7099658610162807,0.6894824707846411,0.7182608695652174,0.7099658610162807,0.7813716701749294,0.7035775127768313,0.6950521709862,10.016353100177174
25,0.7133333333333334,0.7133075369653805,0.6978297161936561,0.7194492254733219,0.7133075369653804,0.7840561375001556,0.7084745762711865,0.7020490426603964,9.901224511858663
26,0.7133333333333334,0.7133103147508744,0.6994991652754591,0.7186963979416809,0.7133103147508743,0.7840977816085699,0.7089678510998307,0.7032561262168512,9.901225178189856
27,0.7191666666666666,0.7191394976097156,0.7028380634390651,0.7258620689655172,0.7191394976097155,0.7885167328689577,0.7141645462256149,0.7073252688172043,9.699745650896917
28,0.71,0.7099630832307868,0.6878130217028381,0.7190226876090751,0.7099630832307867,0.7813345213226233,0.7030716723549487,0.6938363085213878,10.016352433845984
29,0.7208333333333333,0.7208117244770125,0.7078464106844741,0.726027397260274,0.7208117244770124,0.7898535706390407,0.7168216398985631,0.7114093959731542,9.642181689903255
30,0.7191666666666666,0.7191422753952095,0.7045075125208681,0.7250859106529209,0.7191422753952094,0.7885467115868946,0.7146486028789162,0.7085292142377434,9.69974631722811
31,0.725,0.7249770138250384,0.7111853088480802,0.7307032590051458,0.7249770138250384,0.7930276172599463,0.7208121827411168,0.7150050352467271,9.498268122597556
32,0.7108333333333333,0.7108033633426759,0.6928213689482471,0.7179930795847751,0.7108033633426759,0.7820738909331778,0.7051826677994903,0.6977135171486215,9.98757145284594
33,0.7216666666666667,0.7216353378759386,0.7028380634390651,0.7296360485268628,0.7216353378759385,0.7904037226496308,0.7159863945578231,0.7080390178271108,9.613396710916065
34,0.7175,0.7174617151714311,0.6944908180300501,0.7272727272727273,0.7174617151714309,0.7871317726513887,0.7105038428693424,0.7008086253369272,9.757308279228194
35,0.7241666666666666,0.7241589559971,0.7195325542570952,0.7255892255892256,0.7241589559971,0.7925608899231603,0.7225481978206203,0.7207357859531773,9.527054434247132
36,0.7166666666666667,0.7166492129144804,0.7061769616026711,0.7206132879045997,0.7166492129144802,0.7867284580869688,0.7133220910623946,0.7090177673483071,9.786095923540152
37,0.7191666666666666,0.7191228308967526,0.6928213689482471,0.7306338028169014,0.7191228308967524,0.788394252549241,0.7112253641816623,0.7000674763832658,9.699741652909768
38,0.7166666666666667,0.7166686574129373,0.7178631051752922,0.7154742096505824,0.7166686574129373,0.787085324079604,0.7166666666666667,0.7173840507173842,9.786100587858495
39,0.7183333333333334,0.7182769952138757,0.6844741235392321,0.7334525939177102,0.7182769952138756,0.7877133587284711,0.7081174438687393,0.6937394247038918,9.728521301247426
40,0.7225,0.7224783957733216,0.7095158597662772,0.7277397260273972,0.7224783957733216,0.7911277928968372,0.7185122569737955,0.7130872483221476,9.584616396247217
41,0.7216666666666667,0.7216436712324201,0.7078464106844741,0.7272727272727273,0.7216436712324201,0.7904762356452674,0.7174280879864636,0.7116482040953341,9.61339870990964
