,accuracy,balanced_accuracy,recall,precision,auc,pr_auc,f1_score,f2_score,log_loss
0,0.7041666666666667,0.7041666666666666,0.6333333333333333,0.7378640776699029,0.7041666666666667,0.7772653721682848,0.6816143497757847,0.6518010291595198,10.217811304871976
1,0.7041666666666667,0.7041666666666666,0.6366666666666667,0.7360308285163777,0.7041666666666667,0.7771820809248555,0.6827524575513851,0.6543336759164098,10.217812637534358
2,0.6983333333333334,0.6983333333333333,0.6233333333333333,0.7333333333333333,0.6983333333333333,0.7725,0.6738738738738739,0.6426116838487972,10.419288166840145
3,0.705,0.7050000000000001,0.6366666666666667,0.7374517374517374,0.705,0.7778925353925354,0.6833631484794275,0.654557916381083,10.189029657540742
4,0.7133333333333334,0.7133333333333334,0.6416666666666667,0.7490272373540856,0.7133333333333334,0.7849302853437095,0.6912028725314183,0.6606039807824297,9.901201856598142
5,0.7033333333333334,0.7033333333333334,0.625,0.741106719367589,0.7033333333333334,0.7768033596837944,0.678119349005425,0.645216792842395,10.246590953209633
6,0.6933333333333334,0.6933333333333334,0.6266666666666667,0.7230769230769231,0.6933333333333334,0.7682051282051283,0.6714285714285715,0.6438356164383563,10.591987379464232
7,0.6991666666666667,0.6991666666666667,0.625,0.7338551859099804,0.6991666666666666,0.7731775929549902,0.6750675067506751,0.6441085537615939,10.39050585317772
8,0.6975,0.6975,0.6183333333333333,0.7346534653465346,0.6974999999999999,0.7719100660066006,0.6714932126696831,0.6385542168674698,10.448069147840187
9,0.7125,0.7124999999999999,0.6516666666666666,0.7419354838709677,0.7125,0.7838844086021505,0.6938775510204082,0.6679193713700035,9.92998883457891
10,0.7008333333333333,0.7008333333333334,0.645,0.726078799249531,0.7008333333333332,0.7742893996247655,0.6831421006178288,0.6597340606887145,10.332947889164787
11,0.6983333333333334,0.6983333333333333,0.6333333333333333,0.7279693486590039,0.6983333333333334,0.7723180076628353,0.6773618538324421,0.650239561943874,10.419292164827295
12,0.7125,0.7124999999999999,0.6566666666666666,0.7392120075046904,0.7124999999999999,0.7837726704190118,0.6954986760812003,0.6716672349130582,9.929990833572486
13,0.7008333333333333,0.7008333333333333,0.6233333333333333,0.73767258382643,0.7008333333333333,0.7746696252465484,0.6757000903342366,0.6432748538011696,10.332939226859292
14,0.695,0.6950000000000001,0.6216666666666667,0.728515625,0.695,0.7696744791666668,0.670863309352518,0.6404532967032966,10.534419420483424
15,0.715,0.7150000000000001,0.655,0.7443181818181818,0.7150000000000001,0.7859090909090909,0.6968085106382977,0.6711065573770493,9.843641227260441
16,0.7041666666666667,0.7041666666666666,0.6466666666666666,0.7306967984934086,0.7041666666666667,0.777015065913371,0.6861184792219275,0.6618901398839987,10.21781663552151
17,0.7,0.7,0.635,0.7298850574712644,0.7,0.7736925287356323,0.679144385026738,0.6519507186858315,10.361726871171253
18,0.7158333333333333,0.7158333333333333,0.6616666666666666,0.7420560747663552,0.7158333333333333,0.7864447040498442,0.6995594713656388,0.676320272572402,9.814860912591591
19,0.7216666666666667,0.7216666666666667,0.66,0.752851711026616,0.7216666666666667,0.791425855513308,0.7033747779751333,0.6766917293233082,9.613379386305077
20,0.7091666666666666,0.7091666666666667,0.655,0.7345794392523365,0.7091666666666666,0.7810397196261682,0.6925110132158591,0.6695059625212948,10.045122087215764
21,0.7183333333333334,0.7183333333333333,0.6666666666666666,0.7434944237918215,0.7183333333333333,0.7884138785625774,0.7029876977152899,0.6807351940095302,9.728513971604315
22,0.7241666666666666,0.7241666666666666,0.67,0.7514018691588785,0.7241666666666666,0.7932009345794393,0.7083700440528634,0.6848381601362863,9.527034444311377
23,0.7083333333333334,0.7083333333333334,0.655,0.7332089552238806,0.7083333333333334,0.7803544776119404,0.6919014084507044,0.6692779291553134,10.07390506720938
24,0.7141666666666666,0.7141666666666666,0.6683333333333333,0.7357798165137615,0.7141666666666666,0.7849732415902141,0.7004366812227073,0.6808149405772496,9.872429537903594
25,0.705,0.7050000000000001,0.6583333333333333,0.7261029411764706,0.7050000000000001,0.7776348039215686,0.6905594405594405,0.6708559782608696,10.189038319846235
26,0.7116666666666667,0.7116666666666667,0.67,0.730909090909091,0.7116666666666667,0.7829545454545455,0.6991304347826088,0.6813559322033899,9.958779144215638
27,0.7233333333333334,0.7233333333333334,0.685,0.7418772563176895,0.7233333333333334,0.7921886281588447,0.7123050259965339,0.6956668923493569,9.55582342128572
28,0.7216666666666667,0.7216666666666667,0.6816666666666666,0.7409420289855072,0.7216666666666668,0.7908876811594203,0.7100694444444444,0.6927506775067751,9.613388048610572
29,0.7133333333333334,0.7133333333333334,0.67,0.7335766423357665,0.7133333333333333,0.7842883211678833,0.7003484320557491,0.6818181818181819,9.901213184228403
30,0.7241666666666666,0.7241666666666666,0.6966666666666667,0.7372134038800705,0.7241666666666667,0.7927733686067018,0.7163667523564695,0.7044152342433433,9.527045105610448
31,0.7333333333333333,0.7333333333333334,0.71,0.7447552447552448,0.7333333333333333,0.7998776223776223,0.726962457337884,0.7166890982503366,9.210437656330189
32,0.7141666666666666,0.7141666666666666,0.675,0.7323688969258589,0.7141666666666667,0.7849344484629295,0.7025151777970512,0.6857433118862175,9.872432203228362
33,0.7266666666666667,0.7266666666666667,0.7016666666666667,0.7385964912280701,0.7266666666666667,0.7947149122807018,0.7196581196581198,0.7087542087542088,9.44069816462317
34,0.7166666666666667,0.7166666666666666,0.69,0.7288732394366197,0.7166666666666667,0.7869366197183099,0.7089041095890412,0.6974393530997305,9.786089260228236
