CAS-RN,NAME,STATUS_TEXT,STATUS_BIN,SMILES,k OH (AOPv1.92) atmospheric,t1/2 atmosphere in hours,"VP (mm Hg, MPVPBP v1.43)","VP (Pa, MPBPVPwin))",BIOWIN1,BIOWIN2,BIOWIN3,t1/2(water)hrs,t1/2(soil)hrs,BIOWIN4,BIOWIN5,BIOWIN6,log Kow (KowWin v1.67),log Koa (KoaWin v1.10),log Kaw (=Kow/Koa,BCF (BCFBAF v3.00),BCFmax,"kM halflife (days, BCFBAF v3.00)",kM,BCF(metabolism),TMF air,TMF pelagic,BAF air,LRTP-Pov,LRTP-CTD,LRTP-TE,MW,P-score,B-score
000075-26-3," Propane, 2-bromo-",not P,0,BrC(C)C,6.69E-13,5.76E+02,2.15E+02,2.85E+04,.6428,0.0399,2.9563,4.04E+02,8.07E+02,3.7057,0.3931,0.1622,2.08,2.487,-0.347,11.99,3.09E+01,0.238604881,2.91,22.7358,-18.5,-4.9,22.7,2228.017255,489027.0182,718.5689986,122.99,0.9863,0.0172
000075-50-3," Methanamine, N,N-dimethyl-",not P,0,CN(C)C,6.98E-11,5.52E+00,1.68E+03,2.24E+05,.5141,0.4866,2.8137,5.33E+02,1.07E+03,3.4745,0.4527,0.5094,0.04,2.531,-2.371,3.162,2.56E+00,0.020555966,33.72,1.9018,-18.1,-4.6,1.9,35.44323386,7832.164352,12.84931055,59.11,0.0594,0.0027
000075-86-5," Propanenitrile, 2-hydroxy-2-methyl-",not P,0,OC(C)(C)C#N,1.17E-12,3.28E+02,4.10E-01,5.45E+01,.8301,0.9912,2.7166,6.44E+02,1.29E+03,3.5063,0.599,0.6771,-0.03,3.245,-3.275,3.162,2.44E+00,0.038022336,18.23,2.0704,-11.9,-0.8,2.1,57.66752652,6625.477155,31.74936775,85.11,0.1262,0.0029
000077-68-9," Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",not P,0,CC(C)C(O)C(C)(C)COC(=O)C(C)C,1.62E-11,2.37E+01,4.79E-03,6.37E-01,.7935,0.968,2.8092,5.38E+02,1.08E+03,3.7406,0.5409,0.5931,3,8.474,-5.474,44.07,1.91E+02,0.042628978,16.26,14.1712,9.9,1.5,140.2,62.41861626,1659.777097,7.1037682,216.32,0.1418,0.0641
000078-30-8," Phosphoric acid, tris(2-methylphenyl) ester",not P,0,Cc1c(OP(=O)(Oc2c(C)cccc2)Oc2c(C)cccc2)cccc1,1.37E-11,2.81E+01,1.21E-02,1.61E+00,1.0501,1,2.3143,1.41E+03,2.82E+03,3.576,-0.0061,0.0098,6.34,9.591,-4.481,163.6,4.73E+04,4.696119109,0.15,1628.1653,9.2,-3.8,15006.1,169.5951778,3230.650057,13.9697618,368.37,0.4747,0.6951
000078-82-0," Propanenitrile, 2-methyl-",not P,0,N#CC(C)C,7.03E-13,5.48E+02,3.18E+01,4.23E+03,1.0216,0.9987,2.9641,3.97E+02,7.95E+02,3.6828,0.5284,0.669,0.76,3.118,-2.658,3.162,4.81E+00,0.07591142,9.13,4.0856,-13.0,-1.4,4.1,64.81639987,14082.64231,68.27450821,69.11,0.1498,0.0048
000078-83-1," 1-Propanol, 2-methyl-",not P,0,OCC(C)C,6.88E-12,5.59E+01,1.34E+01,1.79E+03,.8710,0.9558,3.1953,2.53E+02,5.06E+02,3.8702,0.6523,0.853,0.77,4.158,-3.398,3.162,4.86E+00,0.058641893,11.82,3.9465,-5.2,2.8,3.9,30.43123935,5469.534007,23.72666613,74.12,0.0465,0.0047
000078-84-2," Propanal, 2-methyl-",not P,0,C(=O)C(C)C,2.33E-11,1.65E+01,1.64E+02,2.19E+04,.9978,0.9999,3.0621,3.28E+02,6.57E+02,3.9403,0.8592,0.958,0.74,2.873,-2.133,3.162,4.71E+00,0.112670218,6.15,4.2160,-15.1,-2.7,4.2,61.50585577,17777.44761,41.65775824,72.11,0.1388,0.0049
000078-92-2, 2-Butanol,not P,0,OC(CC)C,9.98E-12,3.86E+01,2.06E+01,2.75E+03,.8710,0.9558,3.1953,2.53E+02,5.06E+02,3.8702,0.6523,0.853,0.77,4.041,-3.431,3.162,4.86E+00,0.052710812,13.15,3.8650,-6.0,2.5,3.9,29.48395042,5240.039703,22.26214342,74.12,0.0441,0.0046
000078-93-3, 2-Butanone,not P,0,CCC(=O)C,1.33E-12,2.89E+02,9.87E+01,1.31E+04,.7200,0.8223,3.0173,3.58E+02,7.16E+02,3.7215,0.6656,0.8514,0.26,2.923,-2.633,3.162,3.03E+00,0.050300956,13.78,2.5916,-14.6,-2.4,2.6,63.04110345,14355.61956,68.16731792,72.11,0.1439,0.0034
000079-06-1, 2-Propenamide,not P,0,NC(=O)C=C,1.12E-11,3.44E+01,1.28E-01,1.71E+01,.9239,0.9909,2.9879,3.79E+02,7.59E+02,3.9506,0.6459,0.8092,-0.81,6.488,-7.158,3.162,1.61E+00,0.00597026,116.10,0.9191,6.4,5.9,5.9,32.23802091,60.9286395,0.269633474,71.08,0.0510,0.0063
000079-09-4, Propanoic acid,not P,0,OC(=O)CC,1.39E-12,2.77E+02,6.05E+00,8.05E+02,.7850,0.9309,3.4001,1.70E+02,3.40E+02,4.1264,0.7227,0.8777,0.58,5.07,-4.74,3.162,4.01E+00,0.10567879,6.56,3.6276,0.4,5.1,3.6,20.01396094,3267.439812,14.4219051,74.08,0.0233,0.0044
000079-16-3," Acetamide, N-methyl-",not P,0,CC(=O)NC,6.16E-12,6.25E+01,2.43E-01,3.23E+01,.9229,0.9906,2.9834,3.83E+02,7.65E+02,3.9477,0.6221,0.7925,-0.7,4.712,-5.762,3.162,1.69E+00,0.007043463,98.41,1.0114,-1.7,4.4,1.0,32.39013637,1108.387403,4.88503395,73.1,0.0514,0.0017
000080-62-6," 2-Propenoic acid, 2-methyl-, methyl ester",not P,0,C=C(C)C(=O)OC,1.83E-11,2.10E+01,3.68E+01,4.89E+03,.8741,0.9966,3.1181,2.94E+02,5.89E+02,3.9323,0.7712,0.8982,1.28,3.265,-1.885,3.78,8.92E+00,0.036120228,19.19,5.2865,-11.8,-0.7,5.3,81.98103316,25346.90726,50.60212885,100.12,0.2080,0.0058
000084-61-7," 1,2-Benzenedicarboxylic acid, dicyclohexyl ester",not P,0,C1(OC(=O)c2c(C(=O)OC3CCCCC3)cccc2)CCCCC1,2.43E-11,1.59E+01,4.59E-06,6.11E-04,.9386,0.9985,2.7494,6.04E+02,1.21E+03,3.8289,0.6716,0.6144,6.2,11.588,-5.388,5747,4.53E+04,0.422908591,1.64,151.3470,3.3,-18.5,504.0,72.60612255,2516.507632,10.9468201,330.43,0.1760,0.1517
000084-74-2," 1,2-Benzenedicarboxylic acid, dibutyl ester",not P,0,CCCCOC(=O)c1c(C(=O)OCCCC)cccc1,9.28E-12,4.15E+01,2.29E-04,3.04E-02,1.1803,1,3.4612,1.51E+02,3.01E+02,4.4422,0.9017,0.9226,4.61,8.631,-4.131,432.6,6.17E+03,0.089634965,7.73,32.0183,9.9,0.9,317.3,20.11980137,3858.970333,16.34896477,278.35,0.0235,0.1122
000085-44-9," 1,3-Isobenzofurandione",not P,0,c12C(=O)OC(=O)c1cccc2,7.49E-13,5.14E+02,2.23E-04,2.96E-02,.6770,0.7121,2.8718,4.76E+02,9.52E+02,3.634,0.3044,0.2193,2.07,7.776,-6.176,5.281,3.04E+01,0.51306231,1.35,26.0986,9.4,3.8,244.2,48.73609932,518.1191975,2.295224436,148.12,0.0979,0.0941
000087-20-7," Benzoic acid, 2-hydroxy-, 3-methylbutyl ester",not P,0,Oc1c(C(=O)OCCC(C)C)cccc1,1.69E-11,2.28E+01,6.53E-04,8.68E-02,.9384,0.9936,2.9355,4.20E+02,8.40E+02,3.8159,0.5824,0.6741,4.49,7.729,-3.239,429,4.87E+03,0.115370702,6.01,41.0769,9.3,3.9,381.8,50.36948313,5832.349046,24.01730809,208.26,0.1029,0.1268
000088-06-2," Phenol, 2,4,6-trichloro-",not P,0,Oc1c(Cl)cc(Cl)cc1Cl,6.07E-13,6.34E+02,5.37E-03,7.15E-01,.2221,0.0072,2.1994,1.77E+03,3.53E+03,3.1065,0.2239,0.043,3.45,7.663,-3.973,126.4,5.13E+02,0.718659596,0.96,171.6529,9.2,4.1,1579.5,200.0381255,4549.784905,21.47097263,197.45,0.5447,0.2965
000088-99-3," 1,2-Benzenedicarboxylic acid",not P,0,OC(=O)c1c(C(=O)O)cccc1,1.24E-12,3.11E+02,7.69E-07,1.02E-04,1.0222,0.9959,3.0078,3.65E+02,7.30E+02,3.6235,1.0047,0.9569,1.07,9.817,-9.087,3.162,6.83E+00,0.079262113,8.75,5.5071,8.9,-5.2,48.7,32.74603274,37.8846294,0.003616671,166.13,0.0523,0.0301
000090-04-0," Benzenamine, 2-methoxy-",not P,0,Nc1ccc(OC)cc1,9.39E-11,4.10E+00,1.91E-02,2.55E+00,.5871,0.8322,2.7339,6.23E+02,1.25E+03,3.6388,0.4166,0.3933,1.16,6.519,-5.569,3.162,7.64E+00,0.091965926,7.54,6.2016,6.5,5.9,40.6,51.04195801,1284.580248,4.856677034,123.16,0.1050,0.0263
000090-05-1," Phenol, 2-methoxy-",not P,0,Oc1c(OC)cccc1,2.98E-11,1.29E+01,1.13E-01,1.51E+01,.9362,0.9879,2.9231,4.31E+02,8.61E+02,3.7854,0.6356,0.7778,1.34,5.629,-4.309,3.451,9.68E+00,0.077811763,8.91,7.1873,3.1,5.8,22.4,38.16855938,3405.974619,13.2801607,124.14,0.0668,0.0170
000090-15-3, 1-Naphthalenol,not P,0,c12c(O)cccc-1cccc2,2.00E-10,1.92E+00,2.75E-04,3.65E-02,.7947,0.8665,2.9369,4.19E+02,8.38E+02,3.6794,0.405,0.4238,2.69,8.46,-5.61,35.27,9.96E+01,0.433759187,1.60,60.7507,9.9,1.6,600.6,47.82385427,1046.447516,3.421134693,144.17,0.0951,0.1695
000090-43-7," 1,1'-Biphenyl -2-ol",not P,0,Oc1c(-c2ccccc2)cccc1,2.73E-11,1.41E+01,7.08E-04,9.41E-02,.9104,0.9644,2.9014,4.49E+02,8.98E+02,3.6467,0.3439,0.3061,3.28,7.457,-4.367,50.79,3.52E+02,0.58296651,1.19,131.2227,8.9,4.6,1163.8,52.9407383,3372.133907,13.28394847,170.21,0.1110,0.2510
