CAS-RN,NAME,STATUS_TEXT,STATUS_BIN,SMILES,k OH (AOPv1.92) atmospheric,t1/2 atmosphere in hours,"VP (mm Hg, MPVPBP v1.43)","VP (Pa, MPBPVPwin))",BIOWIN1,BIOWIN2,BIOWIN3,t1/2(water)hrs,t1/2(soil)hrs,BIOWIN4,BIOWIN5,BIOWIN6,log Kow (KowWin v1.67),log Koa (KoaWin v1.10),log Kaw (=Kow/Koa,BCF (BCFBAF v3.00),BCFmax,"kM halflife (days, BCFBAF v3.00)",kM,BCF(metabolism),TMF air,TMF pelagic,BAF air,LRTP-Pov,LRTP-CTD,LRTP-TE,MW,P-score,B-score
000142-77-8," 9-Octadecenoic acid (Z)-, butyl ester",not P,0,CCCCCCCCC=CCCCCCCCC(=O)OCCCC,7.91E-11,4.87E+00,1.68E-05,2.24E-03,.9774,0.9974,3.1878,2.57E+02,5.14E+02,4.1263,0.9019,0.9305,9.49,9.352,0.138,203.2,6.35E+02,8.277372588,0.08,523.1789,9.5,-2.5,4980.0,30.87611209,9302.303118,3.743985597,338.58,0.0476,0.4992
000142-84-7," 1-Propanamine, N-propyl-",not P,0,CCCNCCC,8.70E-11,4.42E+00,2.51E+01,3.33E+03,.8532,0.9359,3.,3.71E+02,7.41E+02,3.745,0.6429,0.7459,1.79,4.351,-2.681,5.873,1.89E+01,0.513442356,1.35,17.1708,-3.9,3.4,17.2,31.77099532,5486.400198,10.74407889,101.19,0.0498,0.0140
000143-08-8, 1-Nonanol,not P,0,CC(C)CC(O)CC(C)C,1.87E-11,2.06E+01,3.35E-01,4.45E+01,.8376,0.8887,3.0403,3.43E+02,6.85E+02,3.7691,0.3926,0.5007,3.08,5.358,-2.278,49.72,2.27E+02,0.270338214,2.56,67.9952,1.8,5.6,124.9,61.81364761,16845.94005,49.83531523,144.26,0.1398,0.0591
000144-19-4," 1,3-Pentanediol, 2,2,4-trimethyl-",not P,0,OCC(C)(C)C(O)C(C)C,1.76E-11,2.18E+01,3.53E-03,4.69E-01,.8115,0.8092,2.9838,3.82E+02,7.65E+02,3.7422,0.6167,0.7348,1.49,6.969,-5.729,3.056,1.20E+01,0.046739527,14.83,6.9807,7.8,5.5,54.6,35.85407853,1149.439113,4.975030433,146.23,0.0605,0.0327
000150-76-5," Phenol, 4-methoxy-",not P,0,Oc1ccc(OC)cc1,2.98E-11,1.29E+01,8.32E-03,1.11E+00,.9362,0.9879,2.9231,4.31E+02,8.61E+02,3.7854,0.6356,0.7778,1.59,7.447,-5.867,5.123,1.39E+01,0.093529508,7.41,9.8090,8.9,4.6,86.8,40.35006129,900.7264357,3.863821585,124.14,0.0730,0.0457
000150-78-7," Benzene, 1,4-dimethoxy-",not P,0,COc1ccc(OC)cc1,2.03E-11,1.90E+01,8.56E-02,1.14E+01,.9456,0.9961,2.7776,5.72E+02,1.14E+03,3.8026,0.7252,0.8458,2.15,5.152,-3.112,10.3,3.51E+01,0.530740567,1.31,29.6239,0.8,5.3,29.6,56.17037299,6536.349562,26.61766522,138.17,0.1213,0.0209
000151-10-0," Benzene, 1,3-dimethoxy-",not P,0,COc1cc(OC)ccc1,2.02E-10,1.91E+00,1.49E-01,1.99E+01,.9456,0.9961,2.7776,5.72E+02,1.14E+03,3.8026,0.7252,0.8458,2.15,5.322,-3.112,13.34,3.51E+01,0.598572695,1.16,30.1551,1.7,5.5,50.0,48.79926803,2633.846911,4.321957337,138.17,0.0981,0.0307
000464-45-9," Bicyclo 2.2.1 heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",not P,0,C1(C)(C)C2(CCC1CC2O)C,1.14E-11,3.38E+01,4.30E-04,5.72E-02,.4650,0.1809,2.594,8.18E+02,1.64E+03,3.4478,0.6349,0.5947,2.85,5.939,-3.249,27.66,1.39E+02,0.856371609,0.81,95.6537,4.4,6.0,425.4,89.22519875,6378.622803,28.80260767,154.25,0.2327,0.1361
000495-69-2," Glycine, N-benzoyl-",not P,0,OC(=O)CNC(=O)c1ccccc1,1.07E-11,3.61E+01,2.86E-07,3.80E-05,1.0732,0.9963,3.1356,2.84E+02,5.69E+02,4.1851,0.5774,0.5996,0.46,10.841,-10.531,3.162,3.59E+00,0.016179906,42.84,2.2181,6.2,-12.2,13.8,25.70142172,29.52803544,0.000211681,179.18,0.0353,0.0119
000499-83-2," 2,6-Pyridinedicarboxylic acid",not P,0,n1c(C(=O)O)cccc1C(=O)O,1.09E-12,3.53E+02,3.36E-07,4.47E-05,.8671,0.979,2.7914,5.57E+02,1.11E+03,3.6034,0.9601,0.9235,0.57,13.502,-12.932,3.162,3.97E+00,0.012755745,54.34,2.1275,-7.9,-38.7,2.1,45.04083482,57.76753265,0.000123554,167.12,0.0867,0.0030
000507-70-0, Borneol,not P,0,C1(C)(C)C2(CCC1CC2O)C,1.14E-11,3.38E+01,4.30E-04,5.72E-02,.4650,0.1809,2.594,8.18E+02,1.64E+03,3.4478,0.6349,0.5947,2.85,5.939,-3.249,27.66,1.39E+02,0.856371609,0.81,95.6537,4.4,6.0,425.4,89.22519875,6378.622803,28.80260767,154.25,0.2327,0.1361
000517-23-7," 2(3H)-Furanone, 3-acetyldihydro-",not P,0,O1C(=O)C(C(=O)C)CC1,4.50E-12,8.55E+01,3.11E-02,4.13E+00,.8676,0.992,3.0338,3.47E+02,6.94E+02,3.8696,0.8447,0.922,-1.45,4.099,-5.549,3.162,1.31E+00,0.005545177,125.00,0.7898,-5.6,2.7,0.8,29.82451126,1542.02367,6.80067262,128.13,0.0450,0.0014
000520-45-6," 2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-",not P,0,O1C(=O)C(C(=O)C)C(=O)C=C1C,7.88E-11,4.89E+00,1.42E-03,1.89E-01,.8553,0.978,2.9228,4.31E+02,8.62E+02,3.7897,0.8106,0.8484,0.78,8.93,-8.15,3.162,4.91E+00,0.005649121,122.70,1.4353,9.8,-0.4,14.1,36.76570374,44.71335263,0.028044287,168.15,0.0630,0.0121
000535-80-8," Benzoic acid, 3-chloro-",not P,0,OC(=O)c1cc(Cl)ccc1,8.94E-13,4.31E+02,2.93E-04,3.89E-02,.6674,0.7672,2.7344,6.22E+02,1.24E+03,3.4643,0.6624,0.6708,2.52,8.164,-5.484,3.162,7.07E+01,0.795714821,0.87,56.6906,9.7,2.6,552.4,67.61052226,1693.33686,7.495880889,156.57,0.1591,0.1608
000536-60-7," Benzenemethanol, 4-(1-methylethyl)-",not P,0,OCc1ccc(C(C)C)cc1,1.15E-11,3.34E+01,3.17E-03,4.21E-01,.8894,0.9289,2.9523,4.07E+02,8.13E+02,3.6919,0.3946,0.4627,2.53,7.292,-4.762,12.07,7.21E+01,0.199869429,3.47,35.9762,8.6,4.9,307.8,45.49540252,3100.726359,13.14259885,150.22,0.0880,0.1100
000536-66-3, 4-Isopropylbenzoic acid,not P,0,OC(=O)c1ccc(C(C)C)cc1,4.51E-12,8.54E+01,4.27E-04,5.68E-02,.9009,0.9753,2.8493,4.97E+02,9.94E+02,3.55,0.6245,0.7334,3.33,8.464,-5.064,3.162,3.93E+02,0.85100943,0.81,171.8669,9.9,1.6,1699.4,58.77538363,2614.134636,11.40780002,164.21,0.1298,0.3080
000557-66-4, Ethylamine hydrochloride,not P,0,NCC,2.99E-11,1.29E+01,1.53E+02,2.04E+04,.8799,0.9701,3.124,2.91E+02,5.82E+02,3.826,0.6611,0.8004,-0.15,3.169,-3.299,3.162,2.26E+00,0.096243707,7.20,2.1178,-12.6,-1.2,2.1,28.89933823,5059.457269,18.87512232,45.08,0.0427,0.0029
000579-75-9," Benzoic acid, 2-methoxy-",not P,0,OC(=O)c1c(OC)cccc1,9.31E-12,4.14E+01,8.57E-04,1.14E-01,.9839,0.996,2.8927,4.57E+02,9.14E+02,3.7131,0.865,0.9169,1.61,8.172,-6.582,3.162,1.43E+01,0.237135539,2.92,12.2299,9.7,2.6,119.2,42.68406619,220.2176746,0.97328059,152.15,0.0797,0.0572
000581-40-8," 2,3-Dimethylnaphthalene",not P,0,c12cc(C)c(C)cc-1cccc2,6.94E-11,5.55E+00,1.73E-03,2.31E-01,.7825,0.8748,2.7042,6.60E+02,1.32E+03,3.4853,0.3796,0.3432,4.26,5.825,-1.425,371.6,3.03E+03,2.957112545,0.23,786.5930,4.0,6.0,3126.9,71.73392868,10797.42353,3.387606086,156.23,0.1731,0.4129
000586-38-9," Benzoic acid, 3-methoxy-",not P,0,OC(=O)c1cc(OC)ccc1,7.22E-12,5.34E+01,7.41E-04,9.85E-02,.9839,0.996,2.8927,4.57E+02,9.14E+02,3.7131,0.865,0.9169,1.96,8.602,-6.582,3.162,2.51E+01,0.321496837,2.16,20.6294,9.9,1.0,204.4,45.95897592,220.628341,0.975459179,152.15,0.0894,0.0833
000590-90-9," 2-Butanone, 4-hydroxy-",not P,0,OCCC(=O)C,1.39E-11,2.78E+01,8.59E-01,1.14E+02,.8712,0.9185,3.142,2.81E+02,5.62E+02,3.8278,0.8281,0.9369,-1.21,5.796,-7.006,3.162,1.40E+00,0.0082675,83.84,0.9505,3.9,6.0,3.7,25.10757634,85.86151511,0.379748714,88.11,0.0339,0.0044
000592-41-6, 1-Hexene,not P,0,CCCCC=C,3.02E-11,1.28E+01,1.84E+02,2.45E+04,.8159,0.9748,3.3115,2.02E+02,4.04E+02,3.9954,0.629,0.816,3.15,2.164,1.226,80.12,2.64E+02,0.865676509,0.80,142.8597,-21.6,-6.9,142.9,76.91969972,26068.52368,0.432768829,84.16,0.1907,0.0650
000593-45-3, Octadecane,not P,0,CCCCCCCCCCCCCCCCCC,2.24E-11,1.72E+01,1.46E-03,1.95E-01,.8432,0.9562,3.2334,2.35E+02,4.70E+02,4.0187,0.7465,0.8899,9.18,5.859,3.321,287.5,1.27E+03,37.79428465,0.02,1157.3927,4.1,6.0,4766.3,103.0155609,34640.77804,0.788286124,254.5,0.2791,0.4910
000598-32-3, 3-Buten-2-ol,not P,0,OC(C)C=C,3.34E-11,1.15E+01,2.48E+01,3.29E+03,.8719,0.957,3.1998,2.51E+02,5.02E+02,3.8732,0.6271,0.8105,0.63,4.147,-3.517,3.162,4.21E+00,0.057666155,12.02,3.4991,-5.2,2.8,3.5,24.96729145,4337.070444,16.07240486,72.11,0.0336,0.0043
000624-15-7," 2,6-Octadien-1-ol, 3,7-dimethyl-",not P,0,OCC=C(C)CCC=C(C)C,1.80E-10,2.14E+00,1.59E-02,2.12E+00,.8328,0.8739,3.0183,3.58E+02,7.15E+02,3.7546,0.5762,0.6179,3.47,6.798,-3.328,90.47,5.36E+02,1.196318917,0.58,238.4637,7.4,5.7,1758.9,42.15386858,2576.608656,5.010736282,154.25,0.0781,0.3135
000624-48-6," 2-Butenedioic acid (Z)-, dimethyl ester",not P,0,COC(=O)C=CC(=O)OC,7.35E-12,5.24E+01,7.99E-02,1.06E+01,1.0273,0.9999,3.1611,2.71E+02,5.41E+02,4.0977,0.984,0.9662,1.21,5.277,-4.537,3.162,8.14E+00,0.005545177,125.00,1.5998,1.4,5.5,2.3,26.22294416,3481.030639,14.97956562,144.13,0.0364,0.0031
000626-64-2, 4-Pyridone,not P,0,n1ccc(O)cc1,6.46E-12,5.96E+01,5.53E-01,7.36E+01,.6635,0.7168,2.8312,5.15E+02,1.03E+03,3.7315,0.4928,0.5718,0.32,7.843,-7.523,3.162,3.18E+00,0.010218888,67.83,1.7031,9.4,3.6,16.1,41.92190873,53.45524282,0.117554515,95.1,0.0775,0.0133
000629-62-9, Pentadecane,not P,0,CCCCCCCCCCCCCCC,1.82E-11,2.12E+01,1.53E-02,2.04E+00,.8633,0.9754,3.3264,1.96E+02,3.92E+02,4.0794,0.7234,0.8824,7.71,4.998,2.712,1516,2.05E+04,14.4556242,0.05,4142.3219,0.0,5.0,4142.3,126.9615194,42461.59962,1.055634156,212.42,0.3558,0.4648
000629-73-2, 1-Hexadecene,not P,0,CCCCCCCCCCCCCCC=C,4.43E-11,8.69E+00,7.68E-03,1.02E+00,.7491,0.841,3.0015,3.69E+02,7.39E+02,3.793,0.7058,0.85,8.06,5.663,2.397,1016,1.20E+04,18.01318037,0.04,4201.1297,3.3,5.9,13740.3,52.21917532,17774.67265,0.199072804,224.43,0.1087,0.6810
000629-76-5, 1-Pentadecanol,not P,0,OCCCCCCCCCCCCCCC,2.24E-11,1.72E+01,2.85E-05,3.79E-03,.9060,0.9386,3.1527,2.75E+02,5.50E+02,3.9167,0.886,0.9511,6.24,8.276,-2.036,258.2,4.59E+04,2.250477859,0.31,794.1165,9.8,2.3,7793.0,63.76497198,18776.93285,41.83479242,228.42,0.1463,0.5824
000629-82-3," Octane, 1,1'-oxybis-",not P,0,CCCCCCCCOCCCCCCCC,3.60E-11,1.07E+01,8.45E-03,1.12E+00,.5016,0.4561,3.2514,2.27E+02,4.54E+02,4.0263,0.685,0.8132,6.94,6.67,0.27,747,4.31E+04,7.059244124,0.10,2394.1379,7.0,5.8,16782.6,63.98525142,21693.89703,0.797723582,242.45,0.1470,0.7126
000629-94-7, Heneicosane,not P,0,CCCCCCCCCCCCCCCCCCCCC,2.67E-11,1.44E+01,1.42E-04,1.89E-02,.8232,0.9231,3.1404,2.82E+02,5.63E+02,3.958,0.7695,0.8969,10.65,6.959,3.691,54.55,5.45E+01,98.85156597,0.01,54.3765,7.8,5.5,424.2,86.01219412,28969.06348,1.329351544,296.59,0.2218,0.1358
000629-97-0, Docosane,not P,0,CCCCCCCCCCCCCCCCCCCCCC,2.81E-11,1.37E+01,6.94E-05,9.23E-03,.8165,0.9077,3.1094,2.99E+02,5.99E+02,3.9377,0.7772,0.8991,11.15,7.337,3.813,31.34,2.22E+01,136.178228,0.01,22.1580,8.6,4.8,191.6,81.53969923,27396.47125,2.115081102,310.61,0.2065,0.0797
000629-99-2, Pentacosane,not P,0,CCCCCCCCCCCCCCCCCCCCCCCCC,3.23E-11,1.19E+01,9.65E-06,1.28E-03,.7965,0.8439,3.0164,3.59E+02,7.18E+02,3.877,0.8003,0.9056,12.62,8.438,4.182,23.48,3.45E+00,356.1907403,0.00,3.4501,9.9,1.7,34.1,69.50936538,22639.50979,6.995714967,352.69,0.1655,0.0232
000630-02-4, Octacosane,not P,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,3.65E-11,1.05E+01,1.55E-06,2.07E-04,.7765,0.7484,2.9234,4.30E+02,8.61E+02,3.8163,0.8233,0.9117,14.09,9.539,4.551,4.455,1.47E+00,931.1488186,0.00,1.4696,9.3,-3.5,13.7,59.68605935,17158.83563,16.96570845,394.77,0.1328,0.0118
000630-06-8, Hexatriacontane,not P,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,4.79E-11,8.05E+00,9.08E-09,1.21E-06,.7230,0.3768,2.6755,6.98E+02,1.40E+03,3.6544,0.8848,0.9263,18.02,12.485,5.535,3.162,1.00E+00,12086.26296,0.00,1.0049,-1.3,-27.2,1.0,83.87461977,2951.39216,12.98140792,506.99,0.2145,0.0017
000630-07-9, PENTATRIACONTANE,not P,0,C(CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,4.64E-11,8.29E+00,5.00E-08,6.65E-06,.7297,0.4246,2.7065,6.57E+02,1.31E+03,3.6746,0.8771,0.9246,17.53,12.118,5.412,3.162,1.01E+00,8771.794236,0.00,1.0094,0.8,-23.5,1.0,78.95320415,3070.935539,13.39408121,492.96,0.1977,0.0017
000638-68-6, Triacontane,not P,0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,3.94E-11,9.78E+00,5.63E-07,7.49E-05,.7631,0.6664,2.8615,4.85E+02,9.71E+02,3.7758,0.8387,0.9156,15.07,10.274,4.796,3.162,1.17E+00,1767.330904,0.00,1.1661,7.9,-8.1,9.2,58.35277153,10674.58222,25.49794094,422.83,0.1284,0.0088
000645-62-5," 2-Hexenal, 2-ethyl-",not P,0,C(=O)C(CC)=CCCC,5.00E-11,7.70E+00,4.64E-01,6.17E+01,1.0805,1,3.2409,2.32E+02,4.63E+02,4.1314,0.9033,0.9517,2.62,4.695,-2.075,24.94,8.64E+01,0.771535152,0.90,65.8494,-1.8,4.4,65.8,37.26431011,11430.25808,15.30505433,126.2,0.0643,0.0374
000674-82-8," 2-Oxetanone, 4-methylene-",not P,0,C1(=O)OC(=C)C1,5.15E-11,7.48E+00,1.19E+01,1.59E+03,.8817,0.9973,3.1536,2.75E+02,5.49E+02,3.9554,0.8379,0.9447,-0.39,1.215,-1.605,3.162,1.96E+00,0.005545177,125.00,0.9879,-31.5,-13.8,1.0,41.61016694,13568.95497,7.923974556,84.08,0.0766,0.0017
000708-06-5," 1-Naphthalenecarboxaldehyde, 2-hydroxy-",not P,0,c12c(C=O)c(O)ccc-1cccc2,4.73E-11,8.14E+00,2.73E-05,3.63E-03,1.0660,0.9998,2.8974,4.53E+02,9.05E+02,3.8356,0.7248,0.8187,3.18,8.333,-5.153,58.5,2.82E+02,0.444610122,1.56,101.9740,9.8,2.0,1003.6,53.2753958,2146.148649,8.299427017,172.18,0.1121,0.2307
000821-38-5, Tetradecanedioic acid,not P,0,OC(=O)CCCCCCCCCCCCC(=O)O,1.69E-11,2.28E+01,5.56E-07,7.40E-05,.7699,0.6516,3.3574,1.85E+02,3.69E+02,4.2461,0.8988,0.9235,4.16,12.585,-8.425,3.162,2.45E+03,1.345133283,0.52,403.5778,-1.9,-28.3,403.6,22.15992091,107.3410395,0.47528076,258.36,0.0276,0.1315
000828-00-2," 1,3-Dioxan-4-ol, 2,6-dimethyl-, acetate",not P,0,CC1CC(OC(C)O1)OC(C)=O,4.67E-11,8.24E+00,1.42E-01,1.89E+01,.1441,0.0958,2.9371,4.19E+02,8.38E+02,3.8059,0.5989,0.4098,0.49,5.785,-5.295,3.162,3.69E+00,0.016906029,41.00,2.2937,3.8,6.0,8.7,35.17270516,1906.170523,7.54539799,174.2,0.0587,0.0085
000868-77-9," 2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester",not P,0,OCCOC(=O)C(C)=C,2.41E-11,1.60E+01,7.93E-02,1.06E+01,1.0185,0.9983,3.2117,2.45E+02,4.90E+02,4.0184,0.9415,0.9591,0.3,5.524,-5.054,3.162,3.13E+00,0.008765139,79.08,1.5683,2.6,5.7,4.1,22.56197841,2488.801355,10.23932192,130.14,0.0285,0.0049
000869-29-4, Allylidenediacetate,not P,0,CC(=O)OC(C=C)OC(=O)C,3.14E-11,1.23E+01,9.68E-01,1.29E+02,1.0206,0.9999,3.1301,2.87E+02,5.75E+02,4.0775,0.8978,0.9467,0.69,5.43,-4.65,3.162,4.47E+00,0.005545177,125.00,1.3776,2.2,5.6,3.0,26.0137966,3028.334508,11.87324723,158.16,0.0360,0.0038
000872-50-4, 1-Methyl-2-pyrrolidone,not P,0,N1(C)C(=O)CCC1,2.20E-11,1.75E+01,3.27E-01,4.35E+01,.9105,0.9865,2.9259,4.28E+02,8.56E+02,3.9101,0.6034,0.7822,-0.11,6.503,-6.883,3.162,2.31E+00,0.010729833,64.60,1.4459,6.5,5.9,9.4,35.73568121,113.0185203,0.49913942,99.13,0.0602,0.0089
001002-28-4, 3-Hexyn-1-ol,not P,0,OCCC#CCC,3.34E-11,1.15E+01,6.50E-01,8.64E+01,.8596,0.9389,3.1423,2.81E+02,5.61E+02,3.8356,0.73,0.8813,1.11,5.658,-4.548,2.5,7.17E+00,0.064239776,10.79,5.4710,3.2,5.9,17.8,26.20492022,3114.912864,12.04478443,98.15,0.0364,0.0143
001120-21-4, Undecane,not P,0,CCCCCCCCCCC,1.25E-11,3.07E+01,6.31E-01,8.39E+01,.8900,0.9888,3.4504,1.54E+02,3.08E+02,4.1604,0.6927,0.8718,5.74,3.843,1.897,120.9,3.32E+04,4.013591086,0.17,1381.2352,-7.4,1.7,1381.2,184.1626559,60768.19098,2.165322782,156.31,0.5097,0.2759
001338-39-2," Sorbitan, monododecanoate",not P,0,O1C(C(O)COC(=O)CCCCCCCCCCC)C(O)C(O)C1,5.46E-11,7.05E+00,9.36E-12,1.25E-09,.9940,0.9808,3.3433,1.90E+02,3.79E+02,4.2245,1.0604,0.9143,3.15,14.07,-10.92,55.93,2.64E+02,0.013862944,50.00,4.8858,-12.4,-45.9,4.9,22.60098505,19.6930593,0.046673765,346.47,0.0285,0.0055
001338-43-8," (Z)-Sorbitan, Mono-9-octadecenoate",not P,0,O1C(C(O)COC(=O)CCCCCCCC=CCCCCCCCC)C(O)C(O)C1,1.16E-10,3.32E+00,1.03E-14,1.37E-12,.9549,0.941,3.1618,2.70E+02,5.40E+02,4.106,1.026,0.8546,5.89,16.126,-10.236,149.9,3.78E+04,0.096984354,7.15,34.7923,-32.4,-76.3,34.8,32.48156693,1916.75774,8.487524858,428.61,0.0516,0.0235
001454-85-9, 1-Heptadecanol,not P,0,OCCCCCCCCCCCCCCCCC,2.53E-11,1.52E+01,8.66E-06,1.15E-03,.8926,0.9112,3.0907,3.10E+02,6.21E+02,3.8762,0.9013,0.9533,7.23,9.02,-1.79,2613,3.53E+04,4.270777453,0.16,1469.5942,9.8,-0.8,14395.6,66.78048461,19477.51449,34.04817298,256.48,0.1564,0.6885
001459-93-4," 1,3-Benzenedicarboxylic acid, dimethyl ester",not P,0,COC(=O)c1cc(C(=O)OC)ccc1,6.36E-13,6.05E+02,2.02E-03,2.68E-01,1.0035,0.9998,3.0505,3.36E+02,6.72E+02,4.0255,0.8556,0.9114,1.66,6.698,-5.038,5.814,1.54E+01,0.01210949,57.24,3.3916,7.1,5.8,24.1,33.02176673,2716.303998,12.04384835,194.19,0.0530,0.0179
001777-82-8," BENZENEMETHANOL, 2,4-DICHLORO-",not P,0,OCc1c(Cl)cc(Cl)cc1,4.58E-12,8.40E+01,6.22E-04,8.27E-02,.4572,0.0818,2.5547,8.83E+02,1.77E+03,3.3911,0.3279,0.1439,2.36,7.673,-5.313,9.365,5.18E+01,0.291605882,2.38,34.6627,9.2,4.1,319.5,89.10134128,2073.168553,9.106430443,177.03,0.2323,0.1128
001939-99-7, Benzenemethanesulfonyl chloride,not P,0,S(=O)(=O)(Cl)Cc1ccccc1,1.21E-11,3.17E+01,1.21E-03,1.61E-01,.7849,0.891,2.7999,5.47E+02,1.09E+03,3.5776,0.1304,0.0757,2.98,6.819,-3.839,43.02,1.83E+02,0.071546984,9.69,22.5277,7.4,5.7,167.5,62.8801584,4292.709939,18.24105658,190.65,0.1433,0.0726
002082-80-6," Phosphorous acid, trioctadecyl ester",not P,0,CCCCCCCCCCCCCCCCCCOP(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,1.38E-10,2.79E+00,1.85E-19,2.47E-17,.6732,0.0329,2.2391,1.64E+03,3.27E+03,3.4438,0.7362,0.5632,24.32,21.403,2.917,3.162,1.00E+00,716357.1523,0.00,1.0000,-112.9,-186.2,1.0,196.4731363,2860.927077,12.66839803,839.46,0.5371,0.0017
002415-85-2," Butanamide, N-(4-methylphenyl)-3-oxo-",not P,0,CC(=O)CC(=O)Nc1ccc(C)cc1,1.60E-11,2.41E+01,5.01E-06,6.67E-04,.9282,0.9572,2.625,7.70E+02,1.54E+03,3.6865,0.5118,0.4903,1.55,11.278,-9.728,4.932,1.31E+01,0.047120814,14.71,7.3681,4.6,-15.8,34.2,65.20727911,79.89568807,0.001913101,191.23,0.1511,0.0232
002432-87-3, DIOCTYL SEBACATE,not P,0,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,2.96E-11,1.30E+01,4.54E-07,6.04E-05,1.1096,0.9998,3.1333,2.86E+02,5.71E+02,4.2282,1.2182,0.9899,10.23,12.414,-2.184,88.38,1.27E+02,1.206102628,0.57,97.9689,-0.9,-26.5,98.0,34.3402048,2963.706428,13.06024454,426.69,0.0565,0.0498
002436-90-0," 1,6-Octadiene, 3,7-dimethyl-",not P,0,CC(C)=CCCC(C)C=C,1.19E-10,3.25E+00,5.00E+00,6.65E+02,.6817,0.7399,2.8936,4.56E+02,9.12E+02,3.6483,0.375,0.3696,4.88,3.405,1.475,774.9,1.02E+04,3.956319524,0.18,1246.3655,-10.7,-0.1,1246.4,26.12307998,6717.661526,0.027467877,138.26,0.0362,0.2608
002499-95-8," 2-Propenoic acid, hexyl ester",not P,0,CCCCCCOC(=O)C=C,1.66E-11,2.32E+01,6.15E-01,8.17E+01,.9558,0.9988,3.2925,2.09E+02,4.19E+02,4.1204,0.8572,0.9379,3.18,5.138,-1.808,73.14,2.82E+02,0.105181666,6.59,33.3109,0.7,5.2,33.3,88.6443055,28267.93418,53.40482834,156.23,0.2307,0.0228
002517-43-3," 1-Butanol, 3-methoxy-",not P,0,OCCC(C)OC,2.11E-11,1.82E+01,9.14E-01,1.22E+02,.5093,0.3139,3.1203,2.93E+02,5.86E+02,3.8172,0.6139,0.771,0,5.52,-5.52,3.162,2.49E+00,0.028773233,24.09,2.0072,2.6,5.7,5.3,26.03050296,1552.983369,6.622602694,104.15,0.0360,0.0058
002549-51-1," Acetic acid, chloro-, ethenyl ester",not P,0,ClCC(=O)OC=C,2.64E-11,1.46E+01,6.51E+00,8.65E+02,.7530,0.9714,2.8998,4.51E+02,9.01E+02,3.8022,0.7664,0.7971,0.98,2.755,-1.775,3.162,6.13E+00,0.02379496,29.13,3.5705,-16.1,-3.3,3.6,71.8228589,21992.45126,30.10616497,120.54,0.1734,0.0043
002627-35-2," Phosphoric acid, monododecyl ester",not P,0,OP(O)(=O)OCCCCCCCCCCCC,3.79E-11,1.02E+01,1.12E-08,1.49E-06,.7292,0.7447,2.909,4.43E+02,8.85E+02,3.7326,0.4638,0.3968,4.69,13.339,-8.649,24.32,7.19E+03,0.583948762,1.19,203.7352,-6.8,-36.8,203.7,53.15388064,326.4456596,1.445403453,266.32,0.1117,0.0832
002630-39-9," Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester, (-)-",not P,0,C1(=O)C(CCCCC)C(CC(=O)OC)CC1,2.14E-11,1.80E+01,1.19E-03,1.59E-01,.9292,0.9949,3.1151,2.96E+02,5.92E+02,3.997,0.8126,0.8419,2.98,7.668,-4.688,42.65,1.83E+02,0.052392077,13.23,17.0588,9.2,4.1,157.1,34.81563527,3081.786071,12.52827701,226.32,0.0577,0.0694
003077-30-3," Octanamide, N,N-bis(2-hydroxyethyl)-",not P,0,OCCN(C(=O)CCCCCCC)CCO,4.36E-11,8.82E+00,1.78E-08,2.37E-06,1.2735,0.9985,3.252,2.27E+02,4.53E+02,4.2474,0.9674,0.955,0.92,11.466,-10.546,3.162,5.72E+00,0.009024179,76.81,2.0691,3.9,-17.4,8.0,21.68707126,23.53147116,0.000387752,231.34,0.0267,0.0079
003077-37-0," Nonanamide, N,N-bis(2-hydroxyethyl)-",not P,0,OCCN(C(=O)CCCCCCCC)CCO,4.51E-11,8.55E+00,7.64E-09,1.02E-06,1.2668,0.9982,3.221,2.41E+02,4.82E+02,4.2271,0.9751,0.9561,1.41,11.833,-10.423,3.967,1.07E+01,0.012433133,55.75,3.1468,2.2,-20.8,6.9,23.96180481,24.99801399,0.001000443,245.37,0.0314,0.0071
003290-92-4," 2-Propenoic acid, 2-methyl-, 2-ethyl-2-  (2-methyl-1-oxo-2-propenyl)o",not P,0,C=C(C)C(=O)OCC(CC)(COC(=O)C(C)=C)COC(=O)C(C)=C,6.12E-11,6.29E+00,1.37E-04,1.83E-02,.9251,0.9998,2.6599,7.19E+02,1.44E+03,3.8929,1.0407,0.9213,4.5,11.415,-7.025,366,4.97E+03,0.027725887,25.00,9.9357,4.1,-17.0,40.5,86.32238417,288.864773,1.271658019,338.4,0.2228,0.0263
