,0
649,4080
650,793
651,8260
652,1041
653,4171
654,703
655,7821
656,3281
657,10631
658,1045
659,7592
660,5819
661,5880
662,4887
663,2395
664,2178
665,5204
666,1131
667,8921
668,7401
669,10022
670,7445
671,2938
672,6769
673,1716
674,6833
675,5803
676,8537
677,4013
678,5683
679,8358
680,7976
681,777
682,1418
683,6738
684,7834
685,10418
686,3772
687,8801
688,3840
689,9523
690,9926
691,8263
692,747
693,7888
694,2023
695,8244
696,4034
697,3128
698,7667
699,10550
700,10086
701,3309
702,1358
703,1475
704,4120
705,7392
706,9826
707,3756
708,2265
709,9717
710,4282
711,1697
712,1855
713,6445
714,5048
715,10564
716,857
717,1583
718,2696
719,925
720,9904
721,6666
722,7579
723,550
724,9480
725,7369
726,8030
727,1826
728,9341
729,3000
730,1109
731,5362
732,7155
733,646
734,2480
735,8694
736,8865
737,4392
738,8608
739,2760
740,5409
741,8352
742,2626
743,3331
744,2671
745,8546
746,9127
747,6115
748,7323
749,822
750,5965
751,3719
752,4116
753,3976
754,9563
755,5839
756,1940
757,9749
758,10758
759,9016
760,4729
761,1690
762,6763
763,2729
764,1905
765,3139
766,1298
767,8851
768,5301
769,10513
770,3211
771,4855
772,2110
773,9490
774,2557
775,5685
776,4145
777,3926
778,3721
779,9892
780,5411
781,3435
782,8374
783,9987
784,7430
785,2009
786,1689
787,6955
788,6800
789,148
790,6521
791,205
792,10633
793,10736
794,2506
795,2561
796,5972
797,4776
798,2166
799,1722
800,3627
801,2085
802,715
803,8012
804,6945
805,5046
806,9078
807,2216
808,3654
809,9617
810,217
811,10145
812,6888
813,4777
814,5164
815,9762
816,7599
817,5697
818,5487
819,1988
820,5902
821,3724
822,3365
823,9333
824,5070
825,8240
826,8412
827,5725
828,8016
829,2811
830,2579
831,2648
832,5461
833,4214
834,6909
835,6447
836,10159
837,10716
838,10609
839,2151
840,9072
841,10069
842,10259
843,6586
844,975
845,7204
846,7259
847,8752
848,1354
849,2353
850,1982
851,7693
852,6526
853,4549
854,9423
855,10408
856,10557
857,3797
858,3561
859,4205
860,5307
861,5181
862,4761
863,7572
864,1922
865,7475
866,4522
867,8815
868,9618
869,10552
870,4060
871,9675
872,650
873,8067
874,4775
875,2722
876,6455
877,8916
878,8225
879,9537
880,8122
881,995
882,1664
883,7559
884,6208
885,42
886,10183
887,723
888,7206
889,5673
890,10270
891,3823
892,4187
893,4859
894,794
895,8758
896,972
897,1270
898,1044
899,2735
900,3999
901,5385
902,511
903,6779
904,4064
905,8354
906,1385
907,10343
908,521
909,669
910,8701
911,5037
912,7150
913,4863
914,2535
915,923
916,9125
917,3661
918,9687
919,6616
920,5611
921,1334
922,2869
923,2012
924,4427
925,3652
926,4834
927,7580
928,10563
929,9674
930,7004
931,1685
932,7776
933,3752
934,9316
935,7566
936,350
937,5320
938,134
939,8515
940,6209
941,5051
942,10435
943,9673
944,8726
945,2088
946,9289
947,8091
948,2882
949,7685
950,3944
951,5065
952,2437
953,8309
954,410
955,4598
956,1479
957,4539
958,2351
959,8312
960,9819
961,6360
962,5852
963,1485
964,1633
965,6805
966,5095
967,1795
968,7755
969,5175
970,2613
971,2551
972,1985
973,8205
974,4893
975,9668
976,6216
977,1541
978,8401
979,10179
980,6722
981,480
982,4159
983,4020
984,10421
985,4032
986,10023
987,3323
988,3546
989,9097
990,6214
991,5873
992,1779
993,3304
994,394
995,1172
996,5232
997,1204
998,3398
999,1364
1000,3318
1001,2414
1002,9587
1003,6757
1004,5626
1005,5522
1006,8351
1007,5769
1008,9974
1009,6652
1010,6203
1011,9602
1012,7905
1013,4278
1014,713
1015,9082
1016,594
1017,2865
1018,5640
1019,628
1020,10149
1021,6707
1022,1333
1023,1478
1024,10447
1025,10302
1026,6302
1027,4224
1028,3433
1029,10101
1030,4958
1031,7322
1032,6892
1033,7581
1034,8806
1035,2878
1036,3319
1037,1815
1038,2863
1039,5828
1040,2996
1041,7941
1042,1340
1043,3042
1044,8825
1045,5137
1046,2792
1047,6573
1048,1534
1049,5180
1050,5501
1051,9136
1052,4739
1053,8990
1054,213
1055,5627
1056,2061
1057,2907
1058,763
1059,465
1060,6088
1061,7969
1062,2912
1063,1996
1064,5933
1065,5470
1066,7664
1067,2114
1068,5968
1069,453
1070,6524
1071,3342
1072,10223
1073,3852
1074,3181
1075,7483
1076,7258
1077,4566
1078,1863
1079,5315
1080,9564
1081,738
1082,3759
1083,415
1084,2962
1085,8490
1086,826
1087,3897
1088,7313
1089,10401
1090,7717
1091,8246
1092,7068
1093,6607
1094,476
1095,829
1096,2872
1097,10703
1098,10613
1099,8154
1100,616
1101,7633
1102,9541
1103,7084
1104,8828
1105,685
1106,8957
1107,8237
1108,9
1109,8577
1110,3437
1111,5133
1112,10190
1113,151
1114,8269
1115,8372
1116,985
1117,5861
1118,8702
1119,9807
1120,6446
1121,4944
1122,10218
1123,6341
1124,10566
1125,8816
1126,6697
1127,3656
1128,421
1129,4833
1130,4053
1131,10201
1132,8600
1133,2041
1134,2490
1135,979
1136,9213
1137,2259
1138,6506
1139,3623
1140,3548
1141,8445
1142,3841
1143,5355
1144,7205
1145,6128
1146,604
1147,8042
1148,1068
1149,7429
1150,3946
1151,9512
1152,7254
1153,6313
1154,464
1155,4
1156,1677
1157,500
1158,2194
1159,8565
1160,2910
1161,4661
1162,3142
1163,3197
1164,3048
1165,3341
1166,1138
1167,4245
1168,2300
1169,2839
1170,427
1171,2299
1172,9778
1173,1497
1174,400
1175,6910
1176,7286
1177,3549
1178,7252
1179,4755
1180,5713
1181,4562
1182,2841
1183,8362
1184,7695
1185,6393
1186,5303
1187,8678
1188,6594
1189,1920
1190,4823
1191,830
1192,8047
1193,3451
1194,2799
1195,8592
1196,1146
1197,5130
1198,6638
1199,6078
1200,3373
1201,6072
1202,10109
1203,4293
1204,8235
1205,3773
1206,5528
1207,5299
1208,8005
1209,4077
1210,7185
1211,6634
1212,6146
1213,937
1214,2159
1215,8805
1216,1274
1217,3612
1218,2940
1219,9473
